year,Base case diesel consumed,Modeled wind power
2019,215391.484554,145665.62567
2020,215181.416133,145455.557249
2021,214831.302098,145105.443215
2022,214551.21087,144825.351987
2023,214201.096836,144475.237952
2024,213850.982801,144125.123918
2025,213430.845959,143704.987076
2026,212870.663504,143144.80462
2027,212240.458242,142514.599358
2028,211540.230172,141814.371289
2029,210910.02491,141184.166026
2030,210349.842454,140623.983571
2031,209509.568771,139783.709888
2032,208389.20386,138663.344977
2033,207198.816143,137472.957259
2034,205938.405618,136212.546734
2035,204748.0179,135022.159016
2036,203557.630182,133831.771299
2037,202437.265271,132711.406388
2038,201246.877553,131521.01867
