year,Base case cost,Modeled residential energy efficiency
2017,676551.416244,702307.966405
2018,729152.89625,749064.682842
2019,797034.581911,809952.957538
2020,842091.336298,850710.18668
2021,874236.526088,879206.534893
2022,902530.018498,904260.460011
2023,926775.058935,925674.060841
2024,955312.374041,951666.826666
2025,978652.450122,972387.797431
2026,1005398.35328,996318.853744
2027,1030900.43694,1019169.65911
2028,1053477.6492,1039378.26088
2029,1088577.50274,1071790.58904
2030,1110042.06524,1091088.56354
2031,1138449.45162,1116888.40974
2032,1167206.62394,1143076.63405
2033,1204011.68394,1177350.43371
2034,1235324.37303,1206048.54918
2035,1259869.13122,1228495.14604
2036,1290069.17055,1256271.7705
