year,Base case cost,Modeled residential ashp
2017,11929009.2828,10540349.5945
2018,13028826.49,10981148.3055
2019,14597206.1981,11672944.1125
2020,15337326.1717,11942698.7493
2021,15848515.3441,12119943.3897
2022,16209437.4497,12215865.4674
2023,16437650.1139,12231127.3011
2024,16606551.2987,12222232.3721
2025,16827359.2063,12249785.1116
2026,17099102.1715,12279060.9193
2027,17326357.2401,12298905.0214
2028,17480926.2669,12281087.9586
2029,17812437.6509,12390907.3017
2030,17962942.9519,12405265.1422
2031,18271532.4773,12477762.0797
