year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,0.0,9068.02,433966.9,364634.98
2018,170250.26,9106.97,433966.9,369130.64
2019,116278.56,9143.26,433966.9,372502.38
2020,84669.28,9174.16,433966.9,375874.12
2021,116547.62,9204.31,433966.9,379245.86
2022,98151.22,9241.01,433966.9,382617.61
2023,93223.7,9264.41,433966.9,385989.35
2024,95662.24,9298.28,433966.9,389361.09
2025,88411.39,9331.06,433966.9,392732.83
2026,85495.13,9358.84,433966.9,394980.66
2027,83909.98,9381.94,433966.9,398352.4
2028,81190.07,9399.06,433966.9,399476.32
2029,76759.58,9438.79,433966.9,403971.97
2030,72072.11,9481.47,433966.9,408467.63
2031,68828.15,9508.16,433966.9,411839.37
2032,68382.63,9513.01,433966.9,411839.37
2033,68026.64,9516.79,433966.9,411839.37
2034,67751.78,9518.4,433966.9,412963.29
2035,67516.87,9520.31,433966.9,412963.29
2036,66650.17,9527.98,433966.9,412963.29
2037,66026.17,9533.59,433966.9,414087.2
2038,65533.55,9537.59,433966.9,414087.2
2039,67267.48,9522.67,433966.9,412963.29
2040,69372.75,9504.29,433966.9,410715.46
