year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6857.34818545,4457.27632055
2018,6858.87511746,4458.26882635
2019,6860.88898341,4459.57783922
2020,6862.54790582,4460.65613879
2021,6863.51421598,4461.28424039
2022,6863.29207262,4461.1398472
2023,6861.80778782,4460.17506208
2024,6860.9810258,4459.63766677
2025,6860.82636219,4459.53713543
2026,6861.72870154,4460.123656
2027,6862.04261738,4460.3277013
2028,6861.91251641,4460.24313566
2029,6866.95109511,4463.51821182
2030,6870.68785429,4465.94710529
2031,6873.02967187,4467.46928672
