year,Base case diesel consumed,Modeled diesel efficiency
2019,95489.0466041,86808.2241856
2020,96708.9787051,87917.2533683
2021,98091.5684196,89174.1531088
2022,99474.1581341,90431.0528492
2023,100612.761428,91466.1467531
2024,101751.364723,92501.240657
2025,104109.900118,94645.3637436
2026,105492.489832,95902.2634841
2027,106875.079547,97159.1632245
2028,108013.682841,98194.2571284
2029,109477.601362,99525.0921477
2030,111022.84869,100929.862446
2031,112486.767212,102260.697465
2032,113950.685733,103591.532484
2033,115414.604254,104922.367504
2034,117122.509196,106475.00836
2035,118423.770103,107657.972821
2036,120050.346238,109136.678398
2037,121514.264759,110467.513417
2038,123059.512087,111872.283716
