year,Base case cost,Modeled diesel efficiency
2019,317023.634726,499282.539428
2020,340415.605042,515600.797409
2021,359015.140416,527678.245647
2022,374022.834584,536603.615429
2023,385346.876271,542290.788076
2024,395812.808771,547305.84763
2025,412275.204467,557877.692652
2026,427244.583822,567195.233754
2027,440325.327734,574896.403487
2028,451497.194277,580960.443056
2029,466374.581804,590489.049036
2030,477398.249369,596607.936353
2031,493816.908059,607722.828894
2032,510499.072083,619166.595816
2033,527444.741441,630937.143605
2034,545790.892851,644066.042983
2035,558960.194888,652571.905173
2036,577442.165405,665988.705758
2037,591774.469377,675712.417948
2038,610375.179952,689393.976054
