year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,68204.39,8004591.98,5780578.16,73534.57,4180150.49,2438820.56
2018,71590.65,8406101.24,6043039.06,76791.64,4368399.44,2546119.5
2019,76156.12,8958176.49,6366556.06,81130.1,4627241.74,2680900.21
2020,78328.23,9225849.33,6512654.75,83170.21,4752741.04,2742596.7
2021,79865.06,9409874.41,6626457.98,84640.55,4839021.8,2789581.92
2022,81021.73,9543710.84,6723417.69,85770.17,4901771.45,2828595.57
2023,81717.7,9627358.6,6770485.59,86434.55,4940989.98,2848364.17
2024,82412.47,9711006.37,6825880.82,87097.12,4980208.51,2870972.73
2025,83238.13,9811383.68,6883807.94,87879.81,5027270.75,2895190.33
2026,83989.47,9911761.0,6915681.4,88548.14,5074332.99,2910533.6
2027,84664.43,10012138.32,6920759.3,89099.24,5121395.22,2916757.14
2028,85124.91,10095786.08,6896303.65,89402.06,5160613.75,2912183.74
2029,85965.84,10196163.4,6961046.81,90209.03,5207675.99,2938741.41
2030,86486.93,10263081.61,6986372.69,90686.33,5239050.81,2950375.79
2031,87359.98,10380188.48,7025656.87,91462.17,5293956.76,2969027.41
2032,88291.98,10497295.35,7082392.59,92328.67,5348862.7,2993622.51
2033,89176.35,10614402.22,7129536.98,93122.39,5403768.64,3014959.58
2034,90103.93,10731509.09,7185407.14,93982.48,5458674.58,3039268.38
2035,90403.83,10798427.3,7143634.92,94122.13,5490049.41,3028110.1
2036,91417.72,10932263.72,7189670.34,95035.12,5552799.06,3049851.93
2037,91914.38,10999181.93,7212358.32,95476.02,5584173.88,3060613.78
2038,92995.21,11133018.36,7285972.44,96491.57,5646923.53,3091734.38
2039,93496.69,11216666.12,7270024.21,96861.02,5686142.06,3090146.04
2040,94602.02,11367232.1,7313563.03,97835.53,5756735.42,3111833.65
