year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8951.51953924,5818.48770051
2018,8975.72484943,5834.22115213
2019,8989.92264521,5843.44971938
2020,9008.12777034,5855.28305072
2021,9026.39654835,5867.15775643
2022,9040.93556095,5876.60811462
2023,9053.77876464,5884.95619702
2024,9066.24445468,5893.05889554
2025,9079.16385501,5901.45650576
2026,9093.04191848,5910.47724701
2027,9113.22201779,5923.59431156
2028,9127.7686367,5933.04961386
2029,9139.63609639,5940.76346266
2030,9153.42782146,5949.72808395
2031,9166.96600255,5958.52790166
