year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,19526.77,187553.13,115701.71,24671.19,647352.14,81833.03
2018,21368.47,205322.19,125915.42,24813.45,651348.22,82338.18
2019,23971.6,230407.93,140334.78,25020.1,656989.75,83051.34
2020,25159.86,241905.56,141445.98,25110.3,659575.45,80772.63
2021,26017.66,250267.47,146072.61,25169.91,661455.96,81002.92
2022,26660.08,256538.91,149542.58,25214.16,662866.34,81175.64
2023,27082.24,260719.86,145953.6,25237.96,663806.59,78668.5
2024,27449.92,264378.2,147899.08,25257.42,664629.32,78766.0
2025,27874.06,268559.16,150122.48,25283.75,665569.57,78877.43
2026,28457.92,274307.97,146985.15,25320.97,666862.42,76396.29
2027,28880.31,278488.93,149118.64,25346.29,667802.68,76504.01
2028,29248.42,282147.27,150985.44,25367.34,668625.4,76598.26
2029,29731.35,286850.84,153385.61,25403.32,669683.18,76719.44
2030,30049.63,289986.56,148454.05,25424.14,670388.38,74151.95
2031,30636.72,295735.37,151263.97,25465.7,671681.23,74294.95
2032,31163.21,300961.57,153818.43,25497.54,672856.54,74424.95
2033,31741.49,306710.38,149737.02,25532.31,674149.39,71904.81
2034,32319.78,312459.2,152423.3,25567.54,675442.24,72042.71
2035,32683.58,316117.54,154132.75,25586.77,676264.97,72130.46
2036,33262.68,321866.35,149601.77,25623.44,677557.82,69591.75
2037,33627.91,325524.69,151232.55,25644.35,678380.54,69676.25
2038,34260.47,331796.12,154028.17,25685.71,679790.92,69821.11
2039,34731.33,336499.7,148592.93,25714.26,680848.71,67240.15
2040,35362.08,342771.13,151253.68,25754.96,682259.09,67379.44
