year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,11221545.0,4547097.0,6674448.0
2004,,11586752.0,4571321.0,7015431.0
2005,,11768164.0,4630078.0,7138086.0
2006,,11940799.0,4835255.0,7105544.0
2007,,12157720.0,5006183.0,7151537.0
2008,,12521671.0,5263776.0,7257895.0
2009,,12468665.0,5435270.0,7033395.0
2010,,12330616.0,5328783.0,7001833.0
2011,,12769099.0,5533577.0,7235522.0
2012,,12388928.0,5520502.0,6868426.0
2013,,12453157.0,5564235.0,6888922.0
2014,start of forecast,12132850.0,5135226.0,6997623.0
2015,,12126717.0,5129094.0,6997623.0
2016,,12117018.0,5119394.0,6997623.0
2017,,12104454.0,5106831.0,6997623.0
2018,,12089739.0,5092116.0,6997623.0
2019,,12073496.0,5075873.0,6997623.0
2020,,12055031.0,5057408.0,6997623.0
2021,,12034287.0,5036663.0,6997623.0
2022,,12012214.0,5014591.0,6997623.0
2023,,11988770.0,4991147.0,6997623.0
2024,,11964258.0,4966635.0,6997623.0
2025,,11938627.0,4941004.0,6997623.0
2026,,11912236.0,4914613.0,6997623.0
2027,,11885216.0,4887593.0,6997623.0
2028,,11857908.0,4860285.0,6997623.0
2029,,11832944.0,4835321.0,6997623.0
2030,,11807592.0,4809969.0,6997623.0
2031,,11782288.0,4784665.0,6997623.0
2032,,11756096.0,4758473.0,6997623.0
2033,,11730230.0,4732607.0,6997623.0
2034,,11705318.0,4707695.0,6997623.0
2035,,11681765.0,4684142.0,6997623.0
2036,,11659863.0,4662240.0,6997623.0
2037,,11639443.0,4641820.0,6997623.0
2038,,11620014.0,4622391.0,6997623.0
2039,,11601213.0,4603590.0,6997623.0
2040,,11583249.0,4585626.0,6997623.0
