year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,105681.350816,78204.199604
2018,105681.350816,78204.199604
2019,105681.350816,78204.199604
2020,105681.350816,78204.199604
2021,105681.350816,78204.199604
2022,105681.350816,78204.199604
2023,105681.350816,78204.199604
2024,105681.350816,78204.199604
2025,105681.350816,78204.199604
2026,105681.350816,78204.199604
2027,105681.350816,78204.199604
2028,105681.350816,78204.199604
2029,105681.350816,78204.199604
2030,105681.350816,78204.199604
2031,105681.350816,78204.199604
