year,Base case diesel consumed,Modeled solar power
2020,146795.129446,144604.01105
2021,146795.129446,144621.539997
2022,146795.129446,144638.928713
2023,146795.129446,144656.178319
2024,146898.944955,144777.105437
2025,146898.944955,144794.080153
2026,146898.944955,144810.919071
2027,147002.760464,144931.438787
2028,147002.760464,144948.00936
2029,147002.760464,144964.447369
2030,147002.760464,144980.753874
2031,147002.760464,144996.929927
2032,147002.760464,145012.976571
2033,146898.944955,144925.079333
2034,146898.944955,144940.870258
2035,146691.313938,144748.903838
2036,146795.129446,144868.258628
2037,146898.944955,144987.489103
2038,146898.944955,145002.78075
2039,147002.760464,145121.765573
