year,Base case diesel consumed,Modeled diesel efficiency
2019,191753.487247,174321.352042
2020,191753.487247,174321.352042
2021,191821.436746,174383.124315
2022,191821.436746,174383.124315
2023,191821.436746,174383.124315
2024,191821.436746,174383.124315
2025,191821.436746,174383.124315
2026,191821.436746,174383.124315
2027,191889.386245,174444.896587
2028,191889.386245,174444.896587
2029,191957.335745,174506.668859
2030,191957.335745,174506.668859
2031,191957.335745,174506.668859
2032,192025.285244,174568.441131
2033,192093.234744,174630.213403
2034,192093.234744,174630.213403
2035,192093.234744,174630.213403
2036,192093.234744,174630.213403
2037,192093.234744,174630.213403
2038,192093.234744,174630.213403
