year,annotation,diesel generation efficiency
2002,,14.13
2003,,14.06
2004,,14.02
2005,,14.01
2006,,13.85
2007,,13.97
2008,,13.31
2009,,13.08
2010,,13.73
2011,,13.57
2012,,13.58
2013,,12.83
2014,start of forecast,13.33
2015,,13.33
2016,,13.33
2017,,13.33
2018,,13.33
2019,,13.33
2020,,13.33
2021,,13.33
2022,,13.33
2023,,13.33
2024,,13.33
2025,,13.33
2026,,13.33
2027,,13.33
2028,,13.33
2029,,13.33
2030,,13.33
2031,,13.33
2032,,13.33
2033,,13.33
2034,,13.33
2035,,13.33
2036,,13.33
2037,,13.33
2038,,13.33
2039,,13.33
2040,,13.33
