year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,56013.0,47633.9160426
2018,56004.0,47624.9160426
2019,55993.0,47613.9160426
2020,54582.0,46202.9160426
2021,54570.0,46190.9160426
2022,53157.0,44777.9160426
2023,53145.0,44765.9160426
2024,51731.0,43351.9160426
2025,51718.0,43338.9160426
2026,50305.0,41925.9160426
2027,50292.0,41912.9160426
2028,48878.0,40498.9160426
2029,47463.0,39083.9160426
2030,47449.0,39069.9160426
2031,46034.0,37654.9160426
2032,46022.0,37642.9160426
2033,44611.0,36231.9160426
2034,44600.0,36220.9160426
2035,44588.0,36208.9160426
2036,43176.0,34796.9160426
