year,Base case diesel consumed,Modeled diesel efficiency
2019,219997.141818,199997.401653
2020,221386.751424,201260.683113
2021,222703.223682,202457.476075
2022,224092.833288,203720.757535
2023,225555.580242,205050.527492
2024,227018.327195,206380.29745
2025,228554.211496,207776.555906
2026,230090.095798,209172.814362
2027,231625.980099,210569.072817
2028,233161.8644,211965.331273
2029,234770.886049,213428.078227
2030,236453.045046,214957.313678
2031,238135.204042,216486.549129
2032,239817.363039,218015.784581
2033,241499.522036,219545.020032
2034,243254.81838,221140.743982
2035,245083.252072,222802.956429
2036,246911.685764,224465.168876
2037,248740.119456,226127.381323
2038,250641.690495,227856.082269
