year,Base case cost,Modeled biomass for heat (cordwood)
2017,2168093.35672,2328194.61188
2018,2339617.0721,2481779.00099
2019,2565021.1211,2683512.19684
2020,2669997.1091,2776242.77983
2021,2743087.8671,2840153.08617
2022,2797047.4871,2886791.8327
2023,2834573.9501,2918601.03604
2024,2865232.8251,2944241.97256
2025,2902268.7461,2975707.67797
2026,2946662.7971,3013885.44728
2027,2974476.17422,3036132.0526
2028,2994727.94329,3051558.06986
2029,3036382.60279,3087367.08348
2030,3051420.15891,3098131.46906
2031,3074946.4186,3115575.27589
2032,3099049.38829,3133522.17072
2033,3121320.09052,3149793.74435
2034,3145573.50472,3167833.52125
2035,3152294.87491,3170047.72027
2036,3176983.4966,3188438.21701
