year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,3139599.47,5113.74,75246.43,85164.94
2018,3138656.41,5163.82,75246.43,86204.48
2019,3137640.8,5219.11,75246.43,87244.03
2020,3136697.74,5269.88,75246.43,88283.57
2021,3134884.16,5364.12,75246.43,90362.66
2022,3134013.64,5412.14,75246.43,91402.21
2023,3133143.12,5457.79,75246.43,92441.75
2024,3131764.8,5531.15,75246.43,93481.3
2025,3130604.11,5589.4,75246.43,95560.38
2026,3129588.5,5643.89,75246.43,96599.93
2027,3128572.9,5700.14,75246.43,97639.47
2028,3127339.66,5765.26,75246.43,98679.02
2029,3126324.05,5818.91,75246.43,99718.56
2030,3125163.36,5876.84,75246.43,100758.11
2031,3124365.39,5922.29,75246.43,101797.65
2032,3123277.24,5980.17,75246.43,102837.2
2033,3122116.55,6038.94,75246.43,103876.74
2034,3121100.94,6094.76,75246.43,105955.83
2035,3119940.25,6154.6,75246.43,106995.37
2036,3118344.3,6240.55,75246.43,108034.92
2037,3116893.43,6317.47,75246.43,110114.01
2038,3115660.2,6380.97,75246.43,111153.55
2039,3114499.5,6444.0,75246.43,112193.1
2040,3113266.27,6508.36,75246.43,114272.18
