year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,928341
2004,,0,0,0,0,0,934918
2005,,0,0,0,0,0,1026337
2006,,0,0,0,0,0,969727
2007,,0,0,0,0,0,981235
2008,,0,0,0,0,0,961245
2009,,0,0,0,0,0,1005070
2010,,0,0,0,0,0,1011054
2011,,0,0,0,0,0,1015901
2012,,0,0,0,0,0,811114
2013,,0,0,0,0,0,947904
2014,start of forecast,0,0,0,0,0,960000
2015,,0,0,0,0,0,960000
2016,,0,0,0,0,0,961000
2017,,0,0,0,0,0,961000
2018,,0,0,0,0,0,961000
2019,,0,0,0,0,0,962000
2020,,0,0,0,0,0,962000
2021,,0,0,0,0,0,963000
2022,,0,0,0,0,0,963000
2023,,0,0,0,0,0,963000
2024,,0,0,0,0,0,964000
2025,,0,0,0,0,0,964000
2026,,0,0,0,0,0,964000
2027,,0,0,0,0,0,965000
2028,,0,0,0,0,0,965000
2029,,0,0,0,0,0,966000
2030,,0,0,0,0,0,966000
2031,,0,0,0,0,0,967000
2032,,0,0,0,0,0,967000
2033,,0,0,0,0,0,967000
2034,,0,0,0,0,0,968000
2035,,0,0,0,0,0,968000
2036,,0,0,0,0,0,969000
2037,,0,0,0,0,0,969000
2038,,0,0,0,0,0,970000
2039,,0,0,0,0,0,970000
2040,,0,0,0,0,0,971000
