year,Base case cost,Modeled non-residential energy efficiency
2017,42045.8179526,40283.2452151
2018,43940.0934397,42008.6751402
2019,46535.9524407,44415.3360401
2020,47868.9611168,45602.7517879
2021,48710.8613333,46317.4574282
2022,49412.4448471,46898.7570762
2023,49833.3949553,47210.8518406
2024,50254.3450636,47525.17639
2025,50675.2951719,47841.6784648
2026,51236.5619829,48296.0511207
2027,51727.6704425,48684.6283795
2028,52148.6205508,49007.3615711
2029,52639.7290104,49399.9472552
2030,52990.5207673,49658.7228787
2031,53551.7875783,50123.0033413
