year,Base case cost,Modeled solar power
2020,445394.209764,454566.75749
2021,460714.895113,469380.369253
2022,471976.929791,480210.72627
2023,478547.374289,486423.120069
2024,485445.379773,492971.690414
2025,493116.074261,500285.681991
2026,501882.582248,508688.408307
2027,509553.276736,516019.312333
2028,516128.157727,522277.838284
2029,524152.292736,529978.117299
2030,529635.057305,535174.93961
2031,538407.480614,543623.674806
2032,548276.456837,553161.800027
2033,557048.880146,561625.829491
2034,567300.134088,571561.434429
2035,574657.316482,578653.825991
2036,583054.856227,586764.410124
2037,590040.112717,593498.088152
2038,600332.773916,603503.037792
2039,607337.99462,610269.427235
