year,Base case cost,Modeled non-residential energy efficiency
2017,337667.672994,379225.521313
2018,354664.26716,393696.500428
2019,378129.842896,414297.658368
2020,389359.296333,423413.325972
2021,396682.532752,428808.606636
2022,402297.259471,432680.37698
2023,406508.30451,435257.460292
2024,409468.08188,436653.881614
2025,413526.712908,439181.39189
2026,418042.585968,442084.833724
2027,422101.216997,444674.565733
2028,425610.421196,446744.892375
2029,429973.880245,449623.59818
2030,432781.243605,451087.629243
2031,437144.702654,454022.925394
