year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,29263152
2004,,0,0,0,0,0,30356797
2005,,0,0,0,0,0,30227434
2006,,0,0,0,0,0,30212279
2007,,0,0,0,0,0,30864520
2008,,0,0,0,0,0,41552529
2009,,0,0,221220,0,0,35536526
2010,,0,0,808545,0,0,36008706
2011,,0,0,955148,0,0,35016657
2012,,0,0,1051843,0,0,35951028
2013,,0,0,1172492,0,0,33976007
2014,start of forecast,0,0,1192141,0,0,35075859
2015,,0,0,1192141,0,0,35153859
2016,,0,0,1192141,0,0,35228859
2017,,0,0,1192141,0,0,35300859
2018,,0,0,1192141,0,0,35370859
2019,,0,0,1192141,0,0,35440859
2020,,0,0,1192141,0,0,35506859
2021,,0,0,1192141,0,0,35569859
2022,,0,0,1192141,0,0,35629859
2023,,0,0,1192141,0,0,35687859
2024,,0,0,1192141,0,0,35745859
2025,,0,0,1192141,0,0,35803859
2026,,0,0,1192141,0,0,35860859
2027,,0,0,1192141,0,0,35915859
2028,,0,0,1192141,0,0,35969859
2029,,0,0,1192141,0,0,36034859
2030,,0,0,1192141,0,0,36097859
2031,,0,0,1192141,0,0,36155859
2032,,0,0,1192141,0,0,36203859
2033,,0,0,1192141,0,0,36248859
2034,,0,0,1192141,0,0,36293859
2035,,0,0,1192141,0,0,36340859
2036,,0,0,1192141,0,0,36391859
2037,,0,0,1192141,0,0,36446859
2038,,0,0,1192141,0,0,36499859
2039,,0,0,1192141,0,0,36547859
2040,,0,0,1192141,0,0,36591859
