year,Base case cost,Modeled wind power
2019,5543481.60076,5829467.5765
2020,5876700.62917,6080278.78215
2021,6124337.9622,6261748.63914
2022,6307476.19372,6391024.85989
2023,6425924.35192,6467903.82386
2024,6544724.14072,6545649.09525
2025,6663875.56013,6624248.61155
2026,6826671.44082,6739139.56508
2027,6946013.22576,6818899.6112
2028,7065492.02538,6899264.76808
2029,7209338.73995,7000533.03556
2030,7309481.57978,7066387.6978
2031,7474664.91101,7185953.01223
2032,7616281.80255,7286299.54687
2033,7779582.09128,7404823.30233
2034,7943264.32359,7524135.0099
2035,8063710.71363,7608451.22605
2036,8229467.56649,7730621.24663
2037,8352386.2834,7818175.11448
2038,8519430.83178,7942380.21804
