year,Base case cost,Modeled residential ashp
2017,379470.649702,463253.482109
2018,408976.672208,488718.167257
2019,447245.104867,522481.948813
2020,468088.917526,540021.212358
2021,485118.920488,554061.067056
2022,503902.489076,570115.592521
2023,515516.662647,579208.562218
2024,526408.156674,587681.431415
2025,543334.446326,602186.443541
2026,556331.11081,612758.020669
2027,568576.335445,622677.264958
2028,585260.29601,637133.248692
2029,598801.98171,648387.813096
2030,614976.563035,662475.193447
2031,628888.229344,674186.410753
