year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,4573.66184172,2286.23801681
2018,4686.23798354,2342.51149398
2019,4799.8733852,2399.31446375
2020,4914.40991587,2456.5678812
2021,5030.2158254,2514.45582353
2022,5148.07960167,2573.37243247
2023,5268.45830773,2633.54618027
2024,5391.21114215,2694.90668449
2025,5515.79656106,2757.18324338
2026,5641.80948965,2820.17337206
2027,5769.48604103,2883.99509648
2028,5899.22262533,2948.8465703
2029,6032.92764319,3015.68174645
2030,6168.89631447,3083.64845587
2031,6307.20228913,3152.78351399
