year,Base case diesel consumed,Modeled solar power
2020,57341.9988792,56486.1891836
2021,57341.9988792,56493.0356611
2022,57341.9988792,56499.8273669
2023,57271.8986361,56436.4644959
2024,57271.8986361,56443.147969
2025,57201.7983929,56379.6777312
2026,57201.7983929,56386.2546965
2027,57131.6981498,56322.6788029
2028,57131.6981498,56329.1509577
2029,57131.6981498,56335.5713352
2030,57061.5979067,56271.8401066
2031,57061.5979067,56278.158169
2032,56991.4976635,56214.3254438
2033,56921.3974204,56150.4425784
2034,56851.2971773,56086.509974
2035,56781.1969342,56022.5280285
2036,56711.096691,55958.4971367
2037,56640.9964479,55894.41769
2038,56570.8962048,55830.2900769
2039,56500.7959616,55766.1146828
