year,Base case cost,Modeled residential ashp
2017,334542.22116,339374.222799
2018,364967.02116,355644.40262
2019,407565.759872,379317.42456
2020,427849.159872,389560.656155
2021,442047.539872,396176.087411
2022,452184.78116,400383.097561
2023,460293.522447,403409.849091
2024,466373.823735,405255.351024
2025,473463.46631,407751.258286
2026,482585.787598,411518.205996
2027,484247.427386,408668.655197
2028,490254.749961,410606.314332
2029,499280.219961,414395.914506
2030,504289.341249,415813.948144
2031,513309.602537,419673.413608
