year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,23330.18,208010.71,104521.54,40692.76,193288.19,149920.22
2018,25634.08,228637.67,113552.84,42487.4,201891.21,156592.99
2019,28818.93,257122.51,126024.64,44973.33,213771.58,165807.76
2020,30350.43,270873.81,126324.01,46164.46,219506.92,165526.93
2021,31385.52,280205.05,130232.58,46966.69,223398.77,168461.71
2022,32195.21,287571.82,133318.28,47588.86,226471.28,170778.65
2023,32725.65,292483.0,129243.96,47989.67,228519.61,167399.75
2024,33149.05,296411.95,130815.14,48309.21,230158.29,168600.14
2025,33685.23,301323.13,132779.1,48719.49,232206.62,170100.63
2026,34390.34,307707.66,135332.26,49265.32,234869.46,172051.26
2027,34929.08,312618.84,137296.22,49679.95,236917.8,173551.75
2028,35411.69,317038.9,132466.47,50049.96,238761.31,169758.01
2029,36023.96,322441.2,134524.35,50535.22,241014.48,171360.01
2030,36412.51,325879.02,142598.93,50842.35,242448.32,177603.08
2031,37125.41,332263.56,145152.09,51400.07,245111.16,179553.71
2032,37824.37,338648.09,140697.96,51937.85,247774.0,176165.99
2033,38519.58,345032.62,143129.99,52470.66,250436.84,178059.25
2034,39270.78,351908.28,145749.11,53048.43,253304.51,180098.15
2035,39697.95,355837.22,139912.36,53375.82,254943.18,175770.41
2036,40461.14,362712.87,142401.03,53970.82,257810.86,177747.53
2037,40956.85,367132.93,144000.89,54360.41,259654.36,179018.53
2038,41725.33,374008.58,146489.56,54962.74,262522.03,180995.65
2039,42323.36,379410.88,148444.94,55428.13,264775.21,182549.1
2040,43136.31,386777.65,151111.37,56059.4,267847.71,184667.44
