year,Base case cost,Modeled residential energy efficiency
2017,1123359.36295,1109224.87661
2018,1219656.68631,1197353.52922
2019,1339827.56402,1307443.71513
2020,1421961.2691,1383657.99108
2021,1492999.35343,1450078.08633
2022,1559691.83583,1512738.17821
2023,1632977.5421,1582575.92976
2024,1691598.27249,1638153.34303
2025,1753106.2382,1696485.53222
2026,1831707.90271,1771599.21521
2027,1897390.61951,1834016.67607
2028,1971251.64885,1905012.8051
2029,2041255.42534,1971657.71478
2030,2114482.37197,2042281.48224
2031,2198819.33402,2123340.68924
2032,2272012.63823,2193295.37411
2033,2358851.47753,2276933.81256
2034,2449806.54447,2364547.13866
2035,2530734.2797,2442884.23188
2036,2624322.90163,2533203.15467
