year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,5702493.0,1310765.0,4391728.0
2004,,5910643.0,1365211.0,4545432.0
2005,,5294499.0,1231373.0,4063126.0
2006,,5643940.0,1260092.0,4383848.0
2009,,5628220.0,1674156.0,3954064.0
2010,,5847033.0,1773659.0,4073374.0
2011,,5216959.0,1658675.0,3558284.0
2012,,5231181.0,1655071.0,3576110.0
2013,,5635297.0,1712543.0,3922754.0
2014,start of forecast,5087854.0,1402138.0,3685716.0
2015,,4999238.0,1313522.0,3685716.0
2016,,4910026.0,1224310.0,3685716.0
2017,,4822129.0,1136413.0,3685716.0
2018,,4736661.0,1050945.0,3685716.0
2019,,4654255.0,968539.0,3685716.0
2020,,4572972.0,887256.0,3685716.0
2021,,4491632.0,805916.0,3685716.0
2022,,4412886.0,727170.0,3685716.0
2023,,4337188.0,651472.0,3685716.0
2024,,4260189.0,574473.0,3685716.0
2025,,4185684.0,499968.0,3685716.0
2026,,4110114.0,424398.0,3685716.0
2027,,4031988.0,346272.0,3685716.0
2028,,3952606.0,266890.0,3685716.0
2029,,3884583.0,198867.0,3685716.0
2030,,3814845.0,129129.0,3685716.0
2031,,3740917.0,55201.0,3685716.0
2032,,3654771.0,-30945.0,3685716.0
2033,,3567570.0,-118146.0,3685716.0
2034,,3479882.0,-205834.0,3685716.0
2035,,3394137.0,-291579.0,3685716.0
2036,,3311575.0,-374141.0,3685716.0
2037,,3230423.0,-455293.0,3685716.0
2038,,3147885.0,-537831.0,3685716.0
2039,,3060621.0,-625095.0,3685716.0
2040,,2968837.0,-716879.0,3685716.0
