year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,279138.28,11685.02,140381.02,59245.51
2018,278828.12,11688.88,140381.02,60407.97
2019,278517.97,11692.63,140381.02,61570.43
2020,278285.35,11696.27,140381.02,61570.43
2021,277975.2,11699.93,140381.02,62732.89
2022,277742.58,11703.35,140381.02,63895.35
2023,277509.97,11706.72,140381.02,65057.82
2024,277199.82,11710.01,140381.02,66220.28
2025,276967.2,11713.3,140381.02,66220.28
2026,276734.59,11716.65,140381.02,67382.74
2027,276424.43,11720.07,140381.02,68545.2
2028,276191.82,11723.53,140381.02,69707.66
2029,275959.2,11726.61,140381.02,70870.12
2030,275726.59,11729.69,140381.02,70870.12
2031,275493.97,11732.91,140381.02,72032.58
2032,275261.36,11736.16,140381.02,73195.04
2033,274951.2,11739.86,140381.02,74357.5
2034,274641.05,11743.56,140381.02,75519.96
2035,274408.43,11747.15,140381.02,76682.42
2036,274098.28,11750.62,140381.02,76682.42
2037,273865.66,11753.95,140381.02,77844.89
2038,273633.05,11757.34,140381.02,79007.35
2039,273322.89,11760.88,140381.02,80169.81
2040,273090.28,11764.54,140381.02,81332.27
