year,Base case diesel consumed,Modeled diesel efficiency
2019,278517.968451,253198.153138
2020,278285.353222,252986.684747
2021,277975.199582,252704.726893
2022,277742.584352,252493.258502
2023,277509.969122,252281.790111
2024,277199.815483,251999.832257
2025,276967.200253,251788.363866
2026,276734.585023,251576.895475
2027,276424.431383,251294.937621
2028,276191.816154,251083.469231
2029,275959.200924,250872.00084
2030,275726.585694,250660.532449
2031,275493.970464,250449.064058
2032,275261.355234,250237.595668
2033,274951.201595,249955.637813
2034,274641.047955,249673.679959
2035,274408.432725,249462.211568
2036,274098.279086,249180.253714
2037,273865.663856,248968.785323
2038,273633.048626,248757.316933
