year,Base case cost,Modeled biomass for heat (cordwood)
2017,371508.496868,384645.618929
2018,406938.840731,416549.176242
2019,455539.622019,460451.323931
2020,474501.493095,476901.109537
2021,490512.97567,491134.50508
2022,496872.606746,496086.773821
2023,505772.749321,503859.327203
2024,512687.353184,509835.16765
2025,514685.962973,510811.351278
2026,525430.518123,520268.105625
2027,528086.759199,521824.871667
2028,534836.58435,527663.38864
2029,538178.082851,529827.727473
2030,542947.375426,533880.038375
2031,553441.430576,543118.642913
2032,557292.655515,545720.439545
2033,560895.280454,548079.517335
2034,565171.475393,551027.135814
2035,564622.120332,549608.676148
2036,568418.733983,552087.799301
