year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,48027.18,553834.72,308161.89,90860.69,472749.27,346491.41
2018,51720.31,585467.47,333007.43,96525.77,492999.74,367728.84
2019,56553.53,628375.25,365029.15,103818.11,520468.2,394969.19
2020,59458.76,648654.66,385111.84,108376.39,533450.55,411741.17
2021,61840.95,662748.46,402072.31,112187.33,542473.04,425742.19
2022,63929.59,673240.51,417227.33,115582.58,549189.78,438137.8
2023,65738.25,680522.31,430677.94,118578.86,553851.4,449041.45
2024,67463.02,686551.32,448099.96,121461.95,557711.02,463022.78
2025,69305.63,693519.92,461755.86,124513.7,562172.14,474019.09
2026,71366.8,702367.69,476834.3,127877.18,567836.25,486161.1
2027,73282.05,709649.49,491086.66,131028.53,572497.87,497578.76
2028,75076.47,715678.5,504667.21,134003.48,576357.49,508409.91
2029,77247.59,723743.29,524639.64,137563.61,581520.36,524279.51
2030,79073.66,728676.12,537809.59,140621.74,584678.23,534711.1
2031,81307.18,737602.19,554031.09,144240.01,590392.47,547595.67
2032,83448.34,746606.56,570542.18,147681.02,596156.84,560675.65
2033,85568.13,755610.93,587286.55,151074.68,601921.2,573905.17
2034,87757.59,765085.1,604626.41,154563.52,607986.32,587574.9
2035,89593.83,771114.11,619510.75,157557.76,611845.94,599241.92
2036,91917.72,780744.87,637421.68,161259.31,618011.3,613297.24
2037,93830.47,786382.39,652347.99,164389.3,621620.3,624942.48
2038,96228.41,796169.75,670835.05,168196.36,627885.91,639386.64
2039,98252.9,803373.25,687416.07,171445.08,632497.41,652287.47
2040,100644.25,813943.6,701646.07,175191.62,639264.27,663412.39
