year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,3558909.0,1396038.0,2162871.0
2004,,3825924.0,1469642.0,2356282.0
2005,,3875690.0,1522969.0,2352721.0
2006,,3882270.0,1496397.0,2385873.0
2007,,4058732.0,1502643.0,2556089.0
2008,,4036974.0,1557466.0,2479508.0
2009,,4022259.0,1574668.0,2447591.0
2010,,4168442.0,1644273.0,2524169.0
2011,,3859637.0,1475315.0,2384322.0
2012,,4059367.0,1538741.0,2520626.0
2013,,3673266.0,1429205.0,2244061.0
2014,start of forecast,3904409.0,1521406.0,2383003.0
2015,,3905726.0,1522723.0,2383003.0
2016,,3906697.0,1523694.0,2383003.0
2017,,3907403.0,1524400.0,2383003.0
2018,,3907961.0,1524958.0,2383003.0
2019,,3908345.0,1525342.0,2383003.0
2020,,3908544.0,1525541.0,2383003.0
2021,,3908490.0,1525487.0,2383003.0
2022,,3908384.0,1525381.0,2383003.0
2023,,3908203.0,1525200.0,2383003.0
2024,,3907961.0,1524958.0,2383003.0
2025,,3907587.0,1524584.0,2383003.0
2026,,3907024.0,1524021.0,2383003.0
2027,,3906006.0,1523003.0,2383003.0
2028,,3904734.0,1521731.0,2383003.0
2029,,3903923.0,1520920.0,2383003.0
2030,,3902690.0,1519687.0,2383003.0
2031,,3901058.0,1518055.0,2383003.0
2032,,3898765.0,1515762.0,2383003.0
2033,,3896260.0,1513257.0,2383003.0
2034,,3893575.0,1510572.0,2383003.0
2035,,3890973.0,1507970.0,2383003.0
2036,,3888441.0,1505438.0,2383003.0
2037,,3885975.0,1502972.0,2383003.0
2038,,3883384.0,1500381.0,2383003.0
2039,,3880548.0,1497545.0,2383003.0
2040,,3877577.0,1494574.0,2383003.0
