year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,102984.0,95916.5470439
2018,103682.0,96614.5470439
2019,103685.0,96617.5470439
2020,103687.0,96619.5470439
2021,103689.0,96621.5470439
2022,104387.0,97319.5470439
2023,104388.0,97320.5470439
2024,104390.0,97322.5470439
2025,104391.0,97323.5470439
2026,104392.0,97324.5470439
2027,104393.0,97325.5470439
2028,104393.0,97325.5470439
2029,104393.0,97325.5470439
2030,104393.0,97325.5470439
2031,104393.0,97325.5470439
2032,104392.0,97324.5470439
2033,104390.0,97322.5470439
2034,104389.0,97321.5470439
2035,104387.0,97319.5470439
2036,104385.0,97317.5470439
