year,Base case cost,Modeled non-residential energy efficiency
2017,1165115.12746,1196499.09952
2018,1226072.20053,1247335.1077
2019,1306622.61851,1315933.60143
2020,1343632.27001,1345369.11204
2021,1371933.76822,1367045.33225
2022,1391527.11314,1380960.10144
2023,1404589.34308,1389074.1787
2024,1415474.5347,1395311.24165
2025,1428536.76464,1403595.01625
2026,1445953.07123,1415886.40649
2027,1459015.30118,1424332.01706
2028,1472077.53112,1432855.71212
2029,1487316.79939,1443418.53058
2030,1496024.95268,1448167.20901
2031,1513441.25927,1460840.08553
