year,Base case cost,Modeled water and wastewater efficiency
2017,104579.208528,100347.116214
2018,110087.343501,103605.329718
2019,117317.874379,108085.950642
2020,120866.219092,110000.02294
2021,123697.60139,111425.606453
2022,125806.850201,112358.696765
2023,127375.992264,112926.525463
2024,128775.977241,113388.781524
2025,130382.297149,114008.402645
2026,132384.44903,114917.95251
2027,134022.921925,115584.558113
2028,135675.628622,116272.910921
2029,137542.266487,117122.951229
2030,138845.760158,117589.230145
2031,140938.480904,118620.12611
