year,Base case cost,Modeled biomass for heat (pellet)
2017,10082033.2923,10963031.1381
2018,11299101.2608,12000731.5001
2019,12969132.1744,13429414.4753
2020,13757181.2929,14095810.3236
2021,14283158.1594,14536766.7181
2022,14721210.1162,14900469.4436
2023,14963655.9788,15094803.3
2024,15208453.0216,15291764.3259
2025,15442997.496,15478742.3045
2026,15744996.5288,15723056.2008
2027,16004690.7703,15930513.2632
2028,16225609.9857,16104637.233
2029,16519603.8598,16341699.1445
2030,16656480.8644,16442647.2587
2031,16966426.8792,16690943.5435
2032,17233214.7227,16901500.8723
2033,17534168.9128,17141256.5679
2034,17832288.8963,17378395.7742
2035,18014587.4143,17515498.8966
2036,18331839.3841,17766999.4127
