year,Base case diesel consumed,Modeled diesel efficiency
2019,262040.242007,238218.401824
2020,263088.465305,239171.332096
2021,264070.645573,240064.223248
2022,265109.992438,241009.084035
2023,266182.484546,241984.07686
2024,267460.034109,243145.485554
2025,268540.588324,244127.807568
2026,269881.08814,245346.443763
2027,271138.576986,246489.615442
2028,272463.241871,247693.856247
2029,274090.865815,249173.514377
2030,275863.439765,250784.945241
2031,277635.361878,252395.783526
2032,279630.232678,254209.302435
2033,281402.825355,255820.750322
2034,283323.150163,257566.500148
2035,285539.152352,259581.047593
2036,287902.72795,261729.752682
2037,290487.918837,264079.926215
2038,293220.868804,266564.426186
