year,Base case cost,Modeled residential energy efficiency
2017,277504.081203,278159.075416
2018,291466.141619,289986.342518
2019,311100.289079,306889.713073
2020,329712.527604,323960.202611
2021,336463.053296,329418.006293
2022,340963.403758,332874.330983
2023,344563.684127,335538.009495
2024,347263.894404,337408.72641
2025,350414.139728,339695.329512
2026,354464.455143,342800.569928
2027,358064.735513,345514.998102
2028,360764.94579,347435.275241
2029,375307.667603,361115.770369
2030,378090.201829,363141.443245
2031,382264.003168,366428.565827
2032,386437.804507,369726.559443
2033,390611.605846,373035.169303
2034,395249.16289,376770.919179
2035,409646.45081,390464.456822
2036,414421.214435,394357.424863
