year,Base case cost,Modeled residential energy efficiency
2017,1299920.72587,969764.832452
2018,1414391.18023,1059857.60207
2019,1557863.48188,1171248.79635
2020,1658013.02869,1254862.81916
2021,1765608.11592,1350272.40709
2022,1848280.71168,1423386.25695
2023,1923387.78349,1491560.31883
2024,1996443.55691,1558585.59523
2025,2073715.12624,1629005.98068
2026,2175100.39085,1722718.42702
2027,2254912.89206,1795757.77974
2028,2332266.29101,1867236.79637
2029,2438106.02878,1965516.69125
2030,2513878.67229,2036348.74333
2031,2602110.48634,2117091.68727
2032,2695656.02982,2202321.48964
2033,2786616.99292,2285861.26756
2034,2883079.90263,2374074.53472
2035,2968212.94485,2453573.17064
2036,3067405.00362,2544578.62334
