year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,3711.73,195106.6,95452.7,3233.79,88144.93,99388.08
2018,3994.28,209066.95,100017.97,3409.68,92544.52,104348.86
2019,4365.85,227435.82,106024.9,3640.17,98333.46,110876.19
2020,4544.96,235885.51,108788.09,3752.71,100996.37,113878.76
2021,4673.79,241763.55,110710.31,3834.32,102848.83,115967.51
2022,4768.51,246172.08,112151.97,3893.87,104238.18,117534.07
2023,4836.97,249111.1,113113.08,3937.85,105164.41,118578.44
2024,4893.54,251682.74,113954.05,3973.59,105974.86,119492.27
2025,4957.01,254621.76,114915.16,4013.44,106901.09,120536.64
2026,5043.1,258295.54,116116.54,4068.66,108058.87,121842.11
2027,5112.77,261234.56,117077.65,4113.42,108985.1,122886.48
2028,5173.79,263806.2,117918.62,4152.59,109795.55,123800.31
2029,5247.83,267112.6,118999.87,4199.36,110837.56,124975.23
2030,5299.84,269316.87,119720.7,4232.62,111532.23,125758.51
2031,5372.67,272623.27,120801.95,4278.35,112574.24,126933.43
2032,5450.61,276297.04,122003.34,4326.75,113732.03,128238.89
2033,5526.06,279970.82,123204.72,4373.15,114889.82,129544.36
2034,5609.24,284011.97,124526.25,4424.33,116163.38,130980.37
2035,5653.25,286216.24,125247.08,4451.15,116858.06,131763.65
2036,5732.74,290257.39,126568.6,4499.41,118131.62,133199.67
2037,5774.06,292461.66,127289.43,4524.13,118826.29,133982.95
2038,5850.31,296502.81,128610.96,4569.86,120099.86,135418.96
2039,5903.33,299441.83,129572.07,4601.23,121026.09,136463.33
2040,5980.62,303482.98,130893.59,4647.8,122299.66,137899.35
