year,Base case cost,"Valdez, tatitlek (indian creek)",Cordova (silver lake)
2021,165791.372569,611314.643812,32499630.2946
2022,171418.755972,600847.205853,31831871.5672
2023,175314.636789,590343.170842,31186119.9998
2024,178344.766314,579948.830603,30558580.7233
2025,182240.647132,569963.211265,29942026.847
2026,186569.403596,560304.016329,29337840.4351
2027,190465.284413,550812.796634,28749131.643
2028,193928.289584,541483.827289,28175578.0391
2029,197878.692907,532162.044056,27611325.8686
2030,200470.990194,523135.977111,27067140.4069
2031,205223.53522,514709.407176,26526862.2934
2032,209976.080246,506499.791354,25998803.2533
2033,215160.67482,498577.512035,25480955.9085
2034,219913.219846,490786.669095,24976482.5775
2035,223369.616229,482971.478757,24488552.1318
2036,228117.204664,475218.469733,24004413.8782
2037,231135.768809,467712.042119,23540164.5484
2038,236741.673649,460841.63884,23076182.6408
2039,240622.684693,453856.43844,22629437.982
2040,246228.589533,447349.262713,22185913.4148
2041,246228.589533,440047.006721,21774643.0268
2042,246228.589533,432915.897354,21373011.7885
2043,246228.589533,425951.923296,20980793.7786
2044,245756.887254,418679.465149,20597296.6787
2045,245756.887254,412038.102006,20223248.4394
2046,245756.887254,405552.395808,19857966.9554
2047,245756.887254,399218.698372,19501246.7576
2048,245756.887254,393033.446917,19152887.1864
2049,245756.887254,386993.162313,18812692.2938
2050,245756.887254,381094.446885,18480470.7194
2051,245756.887254,375333.982608,18156035.5884
2052,245756.887254,369708.529189,17839204.4046
2053,245756.887254,364214.922379,17529798.9542
2054,245756.887254,358850.071943,17227645.192
2055,245756.887254,353610.960192,16932573.1588
2056,245756.887254,348494.640125,16644416.8764
2057,245756.887254,343498.233795,16363014.2561
2058,245756.887254,338618.930783,16088207.0123
2059,245756.887254,333853.9864,15819840.5612
2060,245756.887254,329200.720384,15557763.9479
2061,245756.887254,324656.515329,15301829.7574
2062,245756.887254,320218.815043,15051894.0224
2063,245756.887254,315885.123369,14807816.1568
2064,245756.887254,311653.002606,14569458.8669
2065,245756.887254,307520.072211,14336688.0781
2066,245756.887254,303484.007276,14109372.8493
2067,245756.887254,299542.537687,13887385.3253
2068,245756.887254,295693.44626,13670600.6321
2069,245756.887254,291934.567953,13458896.8324
2070,245756.887254,288263.788343,13252154.8397
