year,Base case cost,Modeled non-residential energy efficiency
2017,762725.1585,778411.674498
2018,803935.008662,814531.393054
2019,858390.882089,862941.538944
2020,884882.928621,885548.028275
2021,902544.292976,900035.838186
2022,915790.316242,910485.327784
2023,926092.778782,918255.951835
2024,933451.680597,923346.724482
2025,942282.362774,929838.075847
2026,954056.605677,939089.530024
2027,962887.287855,945658.311718
2028,970246.189669,950903.98861
2029,980548.65221,958907.077912
2030,987907.554024,964224.867427
2031,999681.796927,973658.843499
