year,Base case cost,Modeled non-residential ashp
2017,4681199.03128,5383397.81784
2018,5029799.58044,5711086.08103
2019,5536059.31118,6193957.05481
2020,5761854.17113,6401628.17505
2021,5913749.53804,6536899.67279
2022,6031909.28799,6639458.12415
2023,6103043.9141,6696006.56744
2024,6154469.87326,6733619.34629
2025,6231723.26321,6796886.11668
2026,6314285.9009,6865516.58582
2027,6390554.09006,6928369.94344
2028,6440491.41001,6965637.98097
2029,6544139.71922,7056181.92513
2030,6601236.12538,7101141.56804
2031,6696956.21075,7184277.32662
