year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,205461.4,2749.99,256847.16,65765.55
2018,208901.06,2763.87,256847.16,67927.57
2019,211737.1,2774.52,256847.16,70089.6
2020,214777.52,2787.47,256847.16,72251.62
2021,217441.77,2798.07,256847.16,74413.65
2022,220043.6,2808.38,256847.16,75494.66
2023,222518.36,2818.45,256847.16,77656.69
2024,224804.56,2827.82,256847.16,78737.7
2025,227601.91,2839.08,256847.16,80899.73
2026,230390.92,2850.32,256847.16,83061.75
2027,234142.42,2865.56,256847.16,85223.78
2028,237157.01,2877.64,256847.16,87385.81
2029,240905.7,2892.75,256847.16,90628.84
2030,245023.3,2909.41,256847.16,92790.87
2031,247964.07,2921.15,256847.16,94952.9
2032,250831.22,2932.96,256847.16,97114.92
2033,253772.12,2944.84,256847.16,99276.95
2034,256712.9,2956.75,256847.16,101438.97
2035,259727.21,2968.69,256847.16,103601.0
2036,262668.03,2980.65,256847.16,105763.02
2037,266196.99,2994.83,256847.16,107925.05
2038,269064.27,3006.66,256847.16,110087.08
2039,272152.12,3018.89,256847.16,112249.1
2040,275166.44,3031.27,256847.16,114411.13
