year,annotation,Average Load
2003,,8639.0
2004,,8787.0
2005,,8831.0
2006,,8653.0
2007,,8580.0
2008,,8294.0
2009,,7412.0
2010,,8704.0
2011,,9180.0
2012,,9506.0
2013,,9514.0
2014,,9256.0
2015,start of forecast,9506.0
2016,,9511.0
2017,,9516.0
2018,,9522.0
2019,,9529.0
2020,,9537.0
2021,,9545.0
2022,,9553.0
2023,,9561.0
2024,,9570.0
2025,,9578.0
2026,,9587.0
2027,,9596.0
2028,,9605.0
2029,,9616.0
2030,,9626.0
2031,,9636.0
2032,,9644.0
2033,,9651.0
2034,,9659.0
2035,,9666.0
2036,,9675.0
2037,,9683.0
2038,,9692.0
2039,,9699.0
2040,,9705.0
