year,Base case cost,Modeled non-residential energy efficiency
2017,353287.253231,395054.372075
2018,370174.933116,409055.750687
2019,393933.398734,429506.305481
2020,405273.797243,438456.544904
2021,413055.885007,444072.03195
2022,418436.799815,447508.997661
2023,422327.843697,449585.423257
2024,426052.52101,451577.730693
2025,429777.198324,453605.224426
2026,434579.544237,456606.095394
2027,438304.221551,458701.506986
2028,442028.898865,460829.688372
2029,446664.878209,463808.738203
2030,449066.051166,464722.886333
2031,454280.599405,468342.276002
