year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,75680000.0,18236000.0,57444000.0
2004,,76978000.0,18552000.0,58426000.0
2005,,77361000.0,18034000.0,59327000.0
2006,,75801000.0,17425000.0,58376000.0
2007,,75162000.0,17185000.0,57977000.0
2008,,72659000.0,16648000.0,56011000.0
2009,,64930000.0,17553000.0,47377000.0
2010,,76250000.0,17793000.0,58457000.0
2011,,80421000.0,18193000.0,62228000.0
2012,,83274000.0,17517000.0,65757000.0
2013,,83345000.0,16731000.0,66614000.0
2014,,81080000.0,16106000.0,64974000.0
2015,start of forecast,83355346.0,17573679.0,65781667.0
2016,,83326701.0,17545035.0,65781667.0
2017,,83304498.0,17522831.0,65781667.0
2018,,83243948.0,17462281.0,65781667.0
2019,,83139597.0,17357931.0,65781667.0
2020,,83033899.0,17252232.0,65781667.0
2021,,82951844.0,17170177.0,65781667.0
2022,,82832301.0,17050634.0,65781667.0
2023,,82683899.0,16902232.0,65781667.0
2024,,82521235.0,16739569.0,65781667.0
2025,,82322365.0,16540698.0,65781667.0
2026,,82117880.0,16336213.0,65781667.0
2027,,81951466.0,16169799.0,65781667.0
2028,,81763786.0,15982119.0,65781667.0
2029,,81448124.0,15666457.0,65781667.0
2030,,81132664.0,15350998.0,65781667.0
2031,,80845518.0,15063852.0,65781667.0
2032,,80686949.0,14905282.0,65781667.0
2033,,80526804.0,14745138.0,65781667.0
2034,,80370024.0,14588358.0,65781667.0
2035,,80194798.0,14413131.0,65781667.0
2036,,79970671.0,14189005.0,65781667.0
2037,,79704571.0,13922904.0,65781667.0
2038,,79491034.0,13709368.0,65781667.0
2039,,79310733.0,13529066.0,65781667.0
2040,,79148002.0,13366336.0,65781667.0
