year,Base case cost,Modeled non-residential energy efficiency
2017,14252853.5452,12686179.0309
2018,14760371.9455,13145336.9462
2019,15455860.1236,13783756.495
2020,15813002.7016,14101025.8985
2021,16038566.4351,14293717.9188
2022,16226536.2129,14451177.267
2023,16339318.0797,14537649.2059
2024,16452099.9464,14624607.623
2025,16564881.8131,14712041.1166
2026,16715257.6354,14835681.3336
2027,16846836.4799,14941903.2279
2028,16959618.3466,15030696.1809
2029,17091197.1912,15137792.6041
2030,17185182.0801,15209568.1985
2031,17335557.9024,15335370.0282
