year,Base case cost,Modeled residential energy efficiency
2017,646680.973815,752534.149286
2018,711173.599904,799855.180324
2019,793031.403974,860001.78323
2020,839228.942154,893909.222845
2021,876546.487634,921161.876357
2022,902449.266195,938376.135486
2023,928839.111826,957451.327043
2024,945231.645754,967477.49048
2025,972251.743318,987384.576732
2026,995249.583451,1002943.56309
2027,1020880.23699,1022076.64018
2028,1040174.81958,1034966.43015
2029,1070685.20094,1058316.36136
2030,1086108.45881,1068360.18808
2031,1110338.79161,1085604.96795
2032,1144059.3448,1112001.22123
2033,1176054.3196,1137177.43809
2034,1203438.80184,1157400.50617
2035,1229430.71118,1178002.12571
2036,1264901.96418,1206467.30446
