year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,18819.0,16891.4696233
2018,18819.0,16891.4696233
2019,18819.0,16891.4696233
2020,18083.0,16155.4696233
2021,18083.0,16155.4696233
2022,18083.0,16155.4696233
2023,18083.0,16155.4696233
2024,17347.0,15419.4696233
2025,17347.0,15419.4696233
2026,17347.0,15419.4696233
2027,16612.0,14684.4696233
2028,16612.0,14684.4696233
2029,15876.0,13948.4696233
2030,15876.0,13948.4696233
2031,15876.0,13948.4696233
2032,15140.0,13212.4696233
2033,15140.0,13212.4696233
2034,15140.0,13212.4696233
2035,15140.0,13212.4696233
2036,15140.0,13212.4696233
