year,Base case cost,Modeled water and wastewater efficiency
2017,103886.470807,85688.6369744
2018,109562.985369,89398.07868
2019,117570.046753,94754.5469597
2020,121523.192512,97264.6574769
2021,124123.953684,98829.4234042
2022,126146.334304,99993.4244375
2023,127588.523312,100755.212763
2024,128839.328935,101388.308717
2025,130091.437631,102028.166724
2026,131928.220931,103085.254134
2027,133376.300024,103874.309733
2028,134435.512482,104395.088195
2029,136093.451306,105342.818704
2030,137165.2667,105883.138754
2031,138818.47368,106837.684612
