year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,649809.185232,480858.797072
2018,649809.185232,480858.797072
2019,649809.185232,480858.797072
2020,649809.185232,480858.797072
2021,649809.185232,480858.797072
2022,649809.185232,480858.797072
2023,649809.185232,480858.797072
2024,649809.185232,480858.797072
2025,649809.185232,480858.797072
2026,649809.185232,480858.797072
2027,649809.185232,480858.797072
2028,649809.185232,480858.797072
2029,649809.185232,480858.797072
2030,649809.185232,480858.797072
2031,649809.185232,480858.797072
