year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,559952.0,478323.869568
2018,553663.0,472034.869568
2019,547378.0,465749.869568
2020,541093.0,459464.869568
2021,532297.0,450668.869568
2022,529779.0,448150.869568
2023,524755.0,443126.869568
2024,523496.0,441867.869568
2025,517211.0,435582.869568
2026,508416.0,426787.869568
2027,499613.0,417984.869568
2028,492071.0,410442.869568
2029,484530.0,402901.869568
2030,478244.0,396615.869568
2031,469450.0,387821.869568
2032,459390.0,377761.869568
2033,445568.0,363939.869568
2034,434256.0,352627.869568
2035,424197.0,342568.869568
2036,415400.0,333771.869568
