year,Base case diesel consumed,Modeled non-residential ashp
2017,16040.9897792,-18830.7271669
2018,16040.9897792,-18830.7271669
2019,16040.9897792,-18830.7271669
2020,16040.9897792,-18830.7271669
2021,16040.9897792,-18830.7271669
2022,16040.9897792,-18830.7271669
2023,16040.9897792,-18830.7271669
2024,16040.9897792,-18830.7271669
2025,16040.9897792,-18830.7271669
2026,16040.9897792,-18830.7271669
2027,16040.9897792,-18830.7271669
2028,16040.9897792,-18830.7271669
2029,16040.9897792,-18830.7271669
2030,16040.9897792,-18830.7271669
2031,16040.9897792,-18830.7271669
