year,Base case cost,Modeled non-residential energy efficiency
2017,1790055.76124,1683248.43214
2018,1907207.23889,1777553.0343
2019,2072284.32105,1912895.81919
2020,2149497.79496,1973376.34781
2021,2205411.00021,2015803.98015
2022,2245349.00395,2044720.7308
2023,2274636.87337,2064668.68428
2024,2298599.67561,2080189.9925
2025,2325225.01145,2098099.37119
2026,2359837.94803,2122939.10455
2027,2389125.81744,2143344.06505
2028,2413088.61969,2159311.66922
2029,2447701.55627,2184474.37329
2030,2466339.29135,2196104.7491
2031,2500952.22793,2221470.34801
