year,Base case cost,Modeled residential energy efficiency
2017,988101.790384,1000503.48956
2018,1053474.10931,1052596.35504
2019,1151609.7562,1133502.02689
2020,1202424.32964,1174349.18259
2021,1260148.49301,1224070.04228
2022,1304788.8197,1261734.33818
2023,1335619.09202,1286613.68115
2024,1373648.94766,1319092.50941
2025,1405256.40032,1344923.68754
2026,1448241.4071,1381905.15031
2027,1480677.00274,1408731.03552
2028,1520541.51358,1443377.74063
2029,1563004.63628,1480390.00078
2030,1601646.52667,1514280.7495
2031,1640107.489,1546819.25997
