year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,12042.3193005,8911.31628236
2018,12042.3193005,8911.31628236
2019,12042.3193005,8911.31628236
2020,12042.3193005,8911.31628236
2021,12042.3193005,8911.31628236
2022,12042.3193005,8911.31628236
2023,12042.3193005,8911.31628236
2024,12042.3193005,8911.31628236
2025,12042.3193005,8911.31628236
2026,12042.3193005,8911.31628236
2027,12042.3193005,8911.31628236
2028,12042.3193005,8911.31628236
2029,12042.3193005,8911.31628236
2030,12042.3193005,8911.31628236
2031,12042.3193005,8911.31628236
