year,Base case cost,Modeled residential ashp
2017,48346.2480162,320266.739002
2018,52337.2165471,313967.763314
2019,57677.8841413,306943.102926
2020,61742.7411442,302935.575061
2021,64261.9283387,298578.40031
2022,66387.6561973,294657.304467
2023,68211.3784904,291079.338926
2024,69945.3747789,287690.410845
2025,71815.7467506,284350.3046
2026,73945.0479617,280997.334582
2027,76967.8660474,278992.026449
2028,78803.8005223,276069.842843
2029,80909.0308319,273138.82619
2030,82663.8781316,270487.409034
2031,84946.9505053,267718.057369
