year,Base case diesel consumed,Modeled non-residential ashp
2017,22047.7841646,-3002.62814843
2018,22047.7841646,-3002.62814843
2019,22047.7841646,-3002.62814843
2020,22047.7841646,-3002.62814843
2021,22047.7841646,-3002.62814843
2022,22047.7841646,-3002.62814843
2023,22047.7841646,-3002.62814843
2024,22047.7841646,-3002.62814843
2025,22047.7841646,-3002.62814843
2026,22047.7841646,-3002.62814843
2027,22047.7841646,-3002.62814843
2028,22047.7841646,-3002.62814843
2029,22047.7841646,-3002.62814843
2030,22047.7841646,-3002.62814843
2031,22047.7841646,-3002.62814843
